cancer.sanger.ac.uk,1005632
phytozome.jgi.doe.gov,569985
,309481
solgenomics.net,125962
localhost,115539
jbrowse.org,65498
localhost:8080,63334
medicago.jcvi.org,50484
www.genome.med.kyoto-u.ac.jp,42923
jbrowse.informatics.jax.org,32473
grch37-cancer.sanger.ac.uk,22629
www.flyrnai.org,21475
bipaa.genouest.org,20894
patricbrc.org,20874
14.139.59.221,20753
127.0.0.1,19776
bioinf.gen.tcd.ie,19405
csbl.bmb.uga.edu,18572
geisha.arizona.edu,16916
betula.biosci.helsinki.fi:8080,14966
bils-web.imbim.uu.se,14878
www.echinobase.org,14252
biocomplx.phibred.com,14115
agripestbase.org:8080,13203
icebox.lbl.gov,10648
jbrowse.brachypodium.org,10525
www.tomatogenome.net,9769
aspgd.broadinstitute.org,9688
140.120.203.44,9659
localhost:3000,9170
gryc.inra.fr,8495
sanger.kws.de,8281
dubcovskylab.ucdavis.edu,8265
bioinfo2.ugr.es,8220
zombie.bioxray.au.dk,8187
plmine.mpi-cbg.de:8088,8111
aura.science.unitn.it,7812
www.jcvi.org,7791
genomes.missouri.edu:8080,7233
ec2-54-193-40-41.us-west-1.compute.amazonaws.com,7046
geco.iplantcollaborative.org,6760
genomevolution.org,6740
gmod-dev.nal.usda.gov:8080,6643
medicago-dev.jcvi.org,6542
bioinfo5.ugr.es,6470
chlorella.unl.edu,6258
www.sgn.cornell.edu,6237
www.homd.org,6068
bioinformatics.forsyth.org,6067
webapollo.vectorbase.org,5907
lncrna.big.ac.cn,5740
darter2.westga.edu,5492
jbrowse.girg.um.edu.my,5402
hymenopteragenome.org:8080,5268
genome.igib.res.in,5251
annotation-prod.scilifelab.se:8080,5196
giavap-genomes.ibpc.fr:8080,5157
mockler-jbrowse.mocklerlab.org,5143
jbrowse.jhhlab.tw,5047
www.sunflowergenome.org,5031
140.113.15.87,4879
pathos:8080,4847
apollo.bio.ed.ac.uk,4818
patricbrc.vbi.vt.edu,4716
137.224.100.212,4677
gbcs-dev,4616
denovo.cnag.cat,4514
jbrowse,4312
archer.dev.enzymatics.com,4284
girg.um.edu.my,3977
gbr3,3911
planmine.mpi-cbg.de:8088,3883
mandolin.caltech.edu:8080,3835
servbio.hpc.ncsu.edu:81,3744
192.168.56.101,3664
localhost:8888,3606
biocc.hrbmu.edu.cn:82,3580
oryzasnp.org,3529
flypeakbase.sysbiol.cam.ac.uk,3501
192.168.12.69,3499
ijgvd.megabank.tohoku.ac.jp,3495
zome-dev.phytozome.net,3448
coffee-genome.org,3393
bang,3359
ep.dbcls.jp,3337
analysis.archerdx.com,3288
10.0.0.48,3273
137.189.43.55,3250
133.48.62.140,3236
asrp.danforthcenter.org,3194
url,3126
medicinalplantgenomics.msu.edu,3121
webapollo.bioinformatics.csiro.au,3083
chambo.umd.edu,3022
archer.enzymatics.com,2990
ec2-54-193-41-226.us-west-1.compute.amazonaws.com,2971
whiteflygenomics.org,2965
192.168.6.10:83,2950
210.46.85.205:8080,2920
hastings.hmgc.mcw.edu,2901
titin.ucd.ie,2891
icebox.lbl.gov:8080,2827
172.20.174.113,2820
235318.ichengyun.net,2811
localhost:8000,2779
133.26.84.46,2764
jbrowse.genoox.com.s3-website-us-east-1.amazonaws.com,2743
asparagus.uga.edu,2723
hts-etl-01,2653
dmb-cosmic.sandbox.sanger.ac.uk,2577
mandolin.caltech.edu,2569
weatherby.genetics.utah.edu:8080,2551
genome.integragen.com,2512
visual.ic4r.org,2508
bovinegenome.org:8080,2506
sacibase.ibb.unesp.br,2483
130.239.131.199:8080,2479
crdd.osdd.net,2476
scicomp-pc-1-10gb:8088,2430
karp.kws.de,2375
rgv.genouest.org,2363
arete,2332
genepyramid.stanford.edu,2312
wwww.patricbrc.org,2310
research.nhgri.nih.gov,2304
ecoevo.unit.oist.jp,2257
crispr.technology,2257
cap.ensemblgenomes.org,2244
cazy208.afmb.local,2225
jbrowse-test.sgn.cornell.edu,2209
www.cgr.liv.ac.uk,2189
gmod2.sb-roscoff.fr,2177
mmodev.sb-roscoff.fr,2167
cgp-jbrowse-dev.internal.sanger.ac.uk:8000,2158
mirlab.sysu.edu.cn,2119
rgd.mcw.edu,2106
dev.novocraft.com,2092
pollux:8080,2081
10.42.0.1:8050,2030
10.0.0.20,2012
mothra.ornl.gov,2004
192.168.2.17:8080,1993
202.185.98.27,1991
172.16.44.14,1983
aviangenomes.org,1964
bugs2.sgul.ac.uk,1944
10.207.4.138,1943
eluxt03,1926
jgm-cssc.jax.org,1924
dnamethylome.org,1918
daudin.icmb.utexas.edu,1906
127.0.0.1:8000,1900
www.bowhead-whale.org,1897
tools.genxpro.net,1891
140.113.15.121,1881
genetics.genomicscenter.nl,1866
210.46.85.204:82,1862
myers.bioinformatics.nl,1821
rio.nzcorp.net,1815
webapollo.science.uu.nl,1790
169.237.215.34,1781
biocomp.phibred.com,1775
localhost:8090,1773
127.0.0.1:8888,1719
gregorylab.bio.upenn.edu,1719
rhesus.amu.edu.pl,1695
plantgenomics.snu.ac.kr,1692
