trackCount separated into bins (last 12 months, > 100 hits)
host,'0-100,'100-200,'200-500,'500-1000,'1000-2000,'2000-5000,'5000-10000,'10000-20000,'>20000,trackCount,hits
localhost:8080,23441,7,94,47,956,53,0,0,1,24599,
genomics.dote.hu,81,0,9,0,64,0,0,0,28,182,
jbrowse.roche.com:8080,7108,1029,223,67,253,0,0,1,0,8681,
localhost,23039,345,484,37,142,69,19,125,0,24260,
ts41,38,3,0,67,28,111,19,13,0,279,
172.29.4.215:8080,13,0,0,0,0,0,1935,0,0,1948,
snp-seek.irri.org,568,0,0,0,0,0,8205,0,0,8773,
,157497,1467,1965,2739,366,53,61,0,0,164148,
172.16.0.50,133,28,106,448,1018,3316,822,0,0,5871,
rna.sysu.edu.cn,371,103,288,39,251,145,1175,0,0,2372,
cgm.sjtu.edu.cn,39,0,0,0,0,3704,37,0,0,3780,
192.168.118.225:8080,58,56,0,0,0,3,55,0,0,172,
bigd.big.ac.cn,31,163,249,2,0,0,18,0,0,463,
jbrowse.solynta.com,87,0,0,39,68,739,64,0,0,997,
genomevolution.org,10313,154,319,6,1102,37,5,0,0,11936,
www.genomevolution.org,105,0,6,0,10,0,1,0,0,122,
158.109.215.162,1,234,0,198,21,148,0,0,0,602,
pophuman.uab.cat,0,10,0,287,5742,78,0,0,0,6117,
pophuman.uab.es,0,0,0,0,98,2,0,0,0,100,
popfly.uab.cat,1,0,0,0,0,3454,0,0,0,3455,
rmbreeding.net,0,0,0,0,0,167,0,0,0,167,
www.rmbreeding.cn,11,0,0,0,0,2133,0,0,0,2144,
neuroseq.janelia.org,0,0,0,0,0,193,0,0,0,193,
152.7.99.244,236,53,276,178,108,10,0,0,0,861,
biocomp.phibred.com,21,4,50,19,10,3,0,0,0,107,
10.157.217.77,435,0,0,0,0,202,0,0,0,637,
rgv.genouest.org,0,8,0,292,0,49,0,0,0,349,
biocomplx.phibred.com,480,365,6,1,1,0,0,0,0,853,
localhost:8082,823,0,0,7,77,0,0,0,0,907,
localhost:8081,405,0,0,3,29,0,0,0,0,437,
10.1.0.2:8085,164,745,0,0,3,0,0,0,0,912,
