host,mean,count
172.29.4.215:8080,9197.1101,109
snp-seek.irri.org,8509.9598,8660
genomics.dote.hu,8378.9015,477
popfly.uab.cat,4086.0000,3180
summit.med.unideb.hu,3841.6433,157
rna.sysu.edu.cn,3626.6929,1387
172.16.0.50,3539.9799,5318
jbrowse-dev.solynta.com,3514.1074,121
cgm.sjtu.edu.cn,3240.1331,4111
www.rmbreeding.cn,3006.6352,1809
neuroseq.janelia.org,2958.0000,197
158.109.215.162,2953.4606,165
jbrowse.solynta.com,2752.3828,734
jbrowse,1764.3441,340
pophuman.uab.cat,1540.9752,6704
54.40.223.139:8080,1474.0859,198
plantseq.org,1237.0618,680
peach.igh.cnrs.fr:8080,1231.9526,232
rgv.genouest.org,1032.7043,328
jbrowse.merck.com:8080,955.7434,304
peach.igh.cnrs.fr,918.5841,1765
cloud.limgroup.eu,831.9735,3390
www.bovinegenome.org,805.1426,1038
192.126.123.68,796.0609,230
sjcbiobox.driscolls.com:81,785.6296,162
jbrowse.hpcagrogenomics.wur.nl,706.6004,1091
gbr3,688.5051,792
140.113.203.185,650.5244,307
biocomp.phibred.com,648.4135,104
bovinegenome.org,645.5774,478
jbrowse.jhhlab.tw,628.0612,768
39.107.244.151,627.5111,135
10.84.2.11,581.5929,140
visual.ic4r.org,567.7178,20536
10.10.83.81,543.7694,360
61.148.58.210:8080,534.7008,498
128.206.234.23:8080,531.9041,146
159.226.67.237,518.7894,774
wukong,501.0678,339
128.206.116.5:8080,496.5660,159
gwas-browser.nygenome.org,467.0000,105
152.7.99.244,465.9445,919
140.113.203.184:8080,450.0960,354
jbrower.vardetect.com,419.4094,127
genexpdb.okstate.edu,409.3547,468
epigenome.genetics.uga.edu,402.5678,7421
137.189.43.160:8080,402.2580,3798
10.4.1.101,393.9813,268
159.226.67.237:6080,335.7085,223
39.106.57.70,334.4278,374
10.0.0.29,332.7223,893
192.168.34.39,327.1871,823
bigd.big.ac.cn,324.1367,3101
localhost:9000,320.7415,14989
141.244.134.147,319.0000,166
172.17.107.172,308.5736,591
queitsch-jbrowse.gs.washington.edu,306.9047,472
bio-bigdata.hrbmu.edu.cn,304.0000,332
medicago.toulouse.inra.fr,300.7044,6227
54.210.66.87,288.2347,571
www.bio-bigdata.com,283.6661,1270
cho-epigenome.boku.ac.at,276.0000,1241
jbrowse.dev.yeastgenome.org,275.8209,335
10.112.31.15,266.0066,910
mmodev.sb-roscoff.fr,261.6769,746
regulomics.mimuw.edu.pl,258.0100,899
browse.yeastgenome.org,248.1698,81081
yzlab.lhgene.cn:8082,247.6972,109
bio.driscolls.com,235.1885,122
www.yeastgenome.org,233.4895,1618
mirlab.sysu.edu.cn,231.9673,153
141.244.134.147:11000,229.9381,210
jbrowse.cirad.fr,219.9770,261
47.94.223.5,218.0235,554
plant1.kazusa.or.jp,217.5503,487
180.208.58.19,216.5034,2378
strawberry-garden.kazusa.or.jp,215.2437,197
colossus.biotec.or.th,212.4143,1745
donald,211.0661,756
140.116.56.177,209.3900,1682
binkley.candidagenome.org,205.0584,154
togodb2.kazusa.or.jp,198.5174,891
www.picb.ac.cn,196.3539,3040
www.candidagenome.org,193.6573,2124
furlonglab.embl.de,193.1698,1944
10.113.72.170,185.5039,510
eclipse.biotec.or.th,182.4054,148
hub-test.bu.edu,180.8105,153
elrh6gene01.dow.com,174.2102,157
maizegenomics.plantbiology.msu.edu,173.5574,122
192.168.3.253,171.9155,2935
137.189.43.109,169.6209,1464
222.200.187.174,168.3333,516
epigen-zhong.discovery.wisc.edu,166.9045,377
localhost:8081,166.1201,358
10.9.5.14:8080,163.4470,302
sysbio.sysu.edu.cn,163.1561,442
localhost:65008,163.1182,110
delta.big.ac.cn,162.6512,820
jbrowse.brachypodium.org,160.0000,234
hymenopteragenome.org,155.9910,2122
jbrowse-dev2.acpfg.local,154.7908,736
bioinfodbs.kantiana.ru,153.6465,198
10.75.119.196,152.6970,165
jbrowse.informatics.jax.org,150.7694,13341
sohi.ecology.kyoto-u.ac.jp,150.1607,1008
genomevolution.org,149.0596,11454
103.61.226.71,147.4840,374
varitome.sgn.cornell.edu,147.1853,259
staging.wormbase.org,145.3413,9507
icp-test.incpm.weizmann.ac.il,142.3968,126
150.164.24.16:8888,140.7457,173
crobiad.agwine.adelaide.edu.au,138.9770,782
lulab.life.tsinghua.edu.cn,138.8681,1516
bioinfo.nwafu.edu.cn,137.6522,785
jbrowse.intranet.dow.com,136.0134,670
jbrowse-dev2,131.6471,136
www.pombase.org,128.3891,2529
titin.ucd.ie,128.3598,478
140.254.156.169,127.5915,399
genoweb.toulouse.inra.fr,127.0584,411
10.10.116.28,126.1584,101
137.189.43.55,124.8951,1316
192.168.118.133,123.3941,170
210.75.224.168:8080,121.7749,613
www.tomatogenome.net,121.0000,724
172.20.4.59:3002,119.7752,218
sysbio.gzzoc.com,119.6810,1160
genomes.stowers.org,119.4042,2150
137.189.43.231,118.8939,735
nucmap.bigd.big.ac.cn,117.4860,214
jbrowsevar.renlab.org,117.2129,761
210.46.85.201:8080,116.3631,796
www252.lamp.le.ac.uk,116.0000,191
localhost:8082,115.7388,1696
130.220.208.2,112.2235,801
pombase-dev.bioinformatics.nz,112.0870,253
14.139.59.222:8080,111.5762,1496
apollo.tgac.ac.uk,111.1314,2268
13.113.77.198:8000,110.8664,262
rgd.mcw.edu,110.5750,103236
ribosemap.biosci.gatech.edu,108.4416,582
apollo.vectorbase.org,107.6447,8752
jbrowse.roche.com:8080,107.5349,9681
jbrowse.org,106.2078,29423
jbrowse.latrobe.edu.au,105.3855,345
172.20.0.59,104.0568,176
pipelines.rgd.mcw.edu,103.7672,7404
sweetpotato.plantbiology.msu.edu,103.2306,5450
141.244.133.122,102.6754,382
localhost,102.0428,23016
localhost:8080,101.8620,21340
202.127.22.67,100.6786,1036
124.16.129.42,100.6741,1172
localhost:11000,99.6985,408
glent-qa-1.be.bayercropscience,98.7382,1524
webapollo2.vectorbase.org,98.5474,780
10.114.143.20,97.3134,820
jbrowse-rgv.genouest.org,97.2705,281
wcntusmjwzyxx:8082,96.9968,312
mmb.irbbarcelona.org,96.0960,125
www.rgd.mcw.edu,95.1857,964
dev.rgd.mcw.edu,94.3918,587
122.112.248.194,94.3756,2074
vre.multiscalegenomics.eu,94.2645,847
glent-qa-1.emea.agrogroup.net,94.0417,168
fox.rgd.mcw.edu:8080,93.1579,114
seeders.iptime.org:4880,92.6147,109
bioinfo.njau.edu.cn,91.7961,103
tomatolab.cshl.edu,91.3134,485
pineapple.angiosperms.org,91.0078,258
10.245.128.39,90.9417,240
cegresources.icrisat.org,90.6435,115
biocomplx.phibred.com,90.6051,856
dev.wormbase.org:9020,90.5421,1188
u031331.science.uva.nl,88.9541,283
jbrowse.oceancloud.cn,88.4483,203
inno.npz.local,87.2460,695
10.75.206.133,86.4298,114
www.yeastss.org,83.3496,123
129.194.89.207:8080,83.0000,104
yeastss.org,82.3533,184
genome.igib.res.in,81.9081,664
sollab.cshl.edu,81.8843,1435
211.69.140.130,81.3237,1316
hintonserv.bioscience.liv.ac.uk,80.2396,192
hpoly.nematodegenomes.org,80.1250,160
jbrestel.plasmodb.org,79.5010,505
aklppr31.pfr.co.nz.:8080,78.6256,1720
jbrowse.southgreen.fr,78.3297,15899
bioinfo.cgiarad.org,78.2308,117
genseq-h0.science.uva.nl,76.9628,592
rcug-galaxy1.mh-hannover.local,76.8013,800
pichiagenome-ext.boku.ac.at,76.5775,587
192.168.56.1,76.3295,176
dev.multiscalegenomics.eu,75.8578,232
test.parasite.wormbase.org,74.9750,120
heliodor.nki.nl,73.1916,261
jbrowse-test.sgn.cornell.edu,73.0693,707
myers.bioinformatics.nl,72.8382,136
paramecium.i2bc.paris-saclay.fr,72.6762,12407
129.130.89.51,72.4740,732
133.26.84.46,72.0688,247
147.46.172.224,70.9550,111
jbrowse.cgb.indiana.edu,69.4252,1738
10.11.16.11,69.1806,155
ge.geneconversion.org,68.8983,177
www.cottongen.org,67.5824,1183
192.168.25.170,67.3562,452
azolla.science.uu.nl,66.5241,145
bioinf.gen.tcd.ie,66.2379,7420
192.168.1.102,65.8559,118
ange-data-02.calcul.i2bc.paris-saclay.fr,65.8545,378
192.168.0.119,64.4621,145
p00701.genebay.co.jp:8443,64.0698,215
paramecium-beta.i2bc.paris-saclay.fr,63.6344,2943
plasticite.supagro.inra.fr:8080,61.8382,1341
202.195.250.105,61.4469,922
sgn-test.sgn.cornell.edu,61.2339,124
ange-data-08.calcul.i2bc.paris-saclay.fr,60.1700,2212
code4dna.com,59.9788,848
wormbase.org,59.3436,230457
matsui-lab.riken.jp,58.8214,7581
10.71.115.210,58.6217,230
nobel.gedv.pasteur.fr,57.9097,2414
bmi.xmu.edu.cn,55.5853,299
192.168.160.133,55.3047,128
simrbase.stowers.org,55.1135,1754
plantsmallrnagenes.science.psu.edu,54.6694,1113
localhost:50070,54.5513,156
128.32.118.203,54.3984,374
koke.asrc.kanazawa-u.ac.jp,54.0657,137
jbrowse.intermine.org,53.9482,7522
202.194.139.32,53.6936,1867
peach.fafu.edu.cn,53.0347,606
old-gep.wustl.edu,52.8324,1032
maizeinflorescence.org,52.6504,246
192.168.0.188,52.1121,107
marchantia.info,52.0739,12416
www.tetrans.ethz.ch,52.0000,143
203.101.225.212:8080,52.0000,134
brie.cshl.edu:8080,51.6392,158
opathy.uv.es,51.3275,342
jbrowse.bioinformatics.danforthcenter.org,51.2955,132
www.wormbase.org,49.8225,1461008
data.maizecode.org,47.5490,1235
127.0.0.1:8080,47.3932,585
localhost:3000,47.3183,2353
147.99.112.52,47.0542,775
158.109.57.222,46.6588,724
10.10.20.88,46.2326,215
genomes.stowers.org:8080,45.9771,131
hinton-jbrowse.s3-website-eu-west-1.amazonaws.com,45.9400,433
bf2i300.insa-lyon.fr:8080,45.7286,398
bioinformatics.erc.monash.edu,45.6102,254
,45.5997,168458
simrbase.stowers.org:8080,45.5561,187
www.citrusgenomedb.org,44.9551,1847
www.cucurbitgenomics.org,44.7193,114
210.27.97.108,44.6981,583
lipm-browsers.toulouse.inra.fr,44.5471,2793
tcap.pw.usda.gov,44.5076,197
bcg.abrc.sinica.edu.tw:443,44.4087,504
sinin.kps.ku.ac.th,44.2957,301
18.188.225.24,44.2548,416
compbio.tongji.edu.cn,44.1044,297
152.7.99.230,43.6637,226
jbrowse.xenbase.org,43.1278,19411
192.168.0.69:8080,43.0463,518
icuginew.feilab.net,42.9466,131
www.icugi.org,42.8301,4125
data.koalagenome.org,42.7547,106
mines.legumeinfo.org,42.6012,2134
silkbase.ab.a.u-tokyo.ac.jp,42.5971,6376
10.200.1.241,42.2992,839
10.0.0.48,42.0869,656
172.30.184.31,41.9591,171
10.10.20.22,41.8182,132
sibyl.wormbase.org,41.6197,142
www.heliagene.org,40.9012,8981
localhost:5800,40.8825,2656
192.168.1.50,40.6013,153
10.74.186.113,40.1032,126
wolferine.ucd.ie,39.9214,802
phytozome.jgi.doe.gov,39.8160,569747
10.4.19.128,39.7195,164
d-annotator.interomics.eu,39.6851,235
i.animalgenome.org,39.6644,721
mandolin.caltech.edu,39.3718,156
132.66.114.84,39.3150,127
172.20.8.18,39.2428,593
dubcovskylab.ucdavis.edu,38.9688,4515
bioinfo.florimond-desprez.fr,38.7611,247
www.pristionchus.org,38.7352,1937
cucurbitgenomics.org,38.5971,79932
jcdb.xtbg.ac.cn,38.0000,199
hazelnut.blast.mocklerlab.org,38.0000,107
antgenomes.org,37.4692,292
172.19.35.54,37.4034,119
bioinformatik.basf-ag.de,37.3387,124
arete,37.3241,790
als2077-unix1.science.oregonstate.edu,37.1612,490
test-bioinfo.obs-vlfr.fr,37.0000,392
101.200.190.143:8080,36.9800,451
marimba.obs-vlfr.fr,36.8133,600
coppolalab.ucla.edu,36.6538,182
planc-te.cp.utfpr.edu.br,36.5297,185
seabase.obs-vlfr.fr,36.4333,120
blade05,36.0980,102
localhost:1337,36.0504,873
192.168.0.118,36.0424,661
nod6.umbr.cas.cz,35.9719,320
agwg.rockefeller.edu:8080,35.1272,464
ibi.zju.edu.cn,34.8837,2132
openstack-192-168-101-219.genouest.org,34.8582,134
192.168.64.23,34.7679,168
geneart.med.unideb.hu,34.5891,516
apollo-dev.nal.usda.gov,34.5860,186
jbrowse.amyris.local,34.4502,1899
192.168.1.100:8080,34.3977,440
10.0.0.253,33.6628,172
phytozome-dev.jgi.doe.gov,33.6209,1327
www.scnbase.org,33.4030,134
localhost:5801,33.3901,382
10.200.50.178,33.3333,225
test-bioinfo,33.2133,150
sacibase.ibb.unesp.br,33.1310,733
10.90.75.247:8080,33.0000,290
lithium.kaust.edu.sa,32.9714,175
jbrowse-test.xenbase.org,32.9007,4151
apollo.berkeleybop.io,32.8976,2792
www.solgenomics.org,32.7868,258
gevd01.hosting.pasteur.fr,32.5233,193
localhost:5802,32.4612,206
159.65.161.187,32.4221,154
192.168.25.167,32.3373,249
docker-jbrowse-adebali.cloudapps.unc.edu,32.2368,266
apollo.sgn.cornell.edu,31.8683,9759
imethyl.iwate-megabank.org,31.6499,2445
togovar_test.l5dev.jp,31.4958,353
bioinformatics.forsyth.org,31.3901,505
marmorkrebs.dkfz.de,31.3680,538
localhost:2001,31.3115,122
plantdhs.org,31.2469,2839
jbrowsedev.com:1337,31.1860,457
ricebase.org,31.0000,669
p00201.genebay.co.jp:8443,30.7910,134
dove.ceh.uvic.ca,30.6041,245
phylogicangs,30.5948,153
10.100.22.6,30.5926,977
147.99.108.97,30.4372,247
172.29.2.74,30.4336,113
www.sgn.cornell.edu,30.3701,4456
latte.nhgri.nih.gov,30.0000,116
asparagus.uga.edu,30.0000,245
research.nhgri.nih.gov,29.9859,355
52.90.201.28,29.4865,259
arusha.nhgri.nih.gov,29.4586,870
www.alfalfatoolbox.org,29.3322,3149
bioinf.mind.meiji.ac.jp,29.3086,3146
137.189.133.76,29.2452,367
plasticite:8080,29.1095,338
petunia-webapollo.sgn.cornell.edu,29.0898,334
23.21.254.0:1337,29.0734,109
njp-dev.jgi.doe.gov,29.0604,961
solgenomics.org,29.0521,192
www.hgvd.genome.med.kyoto-u.ac.jp,29.0000,8136
115.146.89.73,29.0000,389
mockler-jbrowse.mocklerlab.org,29.0000,121
128.214.53.152:3838,28.8305,177
apollo-stage.nal.usda.gov,28.7660,1205
dev-a.smestorage.com,28.6748,329
www.solgenomics.net,28.6588,7875
apollo.nal.usda.gov,28.4690,1548
sgn.cornell.edu,28.2909,660
cap.ensemblgenomes.org,28.1659,1344
solgenomics.net,28.0154,239145
ds.genome.med.kyoto-u.ac.jp,27.9524,168
140.109.183.233,27.7717,644
192.168.203.138:8080,27.7026,491
www.chogenome.org,27.5306,1898
127.0.0.1,27.4597,2656
genomicsal.es,27.4553,123
hikakudb.nig.ac.jp,27.4445,3530
cpt.tamu.edu,27.3155,6785
172.29.2.99,27.1664,601
spruce.plantphys.umu.se:8105,27.0000,117
chogenome.org,26.8871,310
exploreageno.me,26.8142,296
triticeaetoolbox.org,26.7412,1503
genomebrowser.uams.edu,26.7409,521
dirac.basc.science.depi.vic.gov.au,26.6818,110
annotation-prod.scilifelab.se:8080,26.6737,2648
10.42.0.7:8081,26.6600,2038
www.forestrylab.org,26.5840,3214
gbf.toulouse.inra.fr,26.5121,1197
localhost:8889,26.5046,109
216.47.151.240:8085,26.4561,1105
iris.angers.inra.fr,26.3526,3191
kp141-242,26.3448,464
demo.genomearchitect.org,26.3307,771
maizegametophyte.org,26.2657,399
ssr,26.1709,901
plantomics.mind.meiji.ac.jp,26.1555,2347
jbrowse.ilweb01.lt.local,26.0789,2422
ginsengdb.snu.ac.kr,26.0000,287
dash,25.9907,2044
