trackCount separated into bins (last 12 months, > 100 hits)
host,'0-100,'100-200,'200-500,'500-1000,'1000-2000,'2000-5000,'5000-10000,'10000-20000,'>20000,trackCount,hits
localhost:8080,20262,7,19,46,958,53,0,0,1,21346,
genomics.dote.hu,311,0,9,0,65,36,0,0,56,477,
jbrowse.roche.com:8080,8055,1085,216,68,256,0,0,1,0,9681,
localhost,22026,406,209,13,191,27,19,125,0,23016,
172.29.4.215:8080,1,0,0,0,0,0,108,0,0,109,
snp-seek.irri.org,602,0,0,0,0,0,8059,0,0,8661,
,158548,4893,2046,2570,374,24,49,0,0,168504,
172.16.0.50,117,0,28,0,773,3316,1084,0,0,5318,
rna.sysu.edu.cn,80,0,289,22,206,61,729,0,0,1387,
genomevolution.org,10016,109,263,4,1016,38,7,0,0,11453,
cgm.sjtu.edu.cn,39,0,0,0,0,4034,38,0,0,4111,
bigd.big.ac.cn,1435,201,284,1162,0,0,19,0,0,3101,
jbrowse-dev.solynta.com,13,0,0,0,8,87,13,0,0,121,
jbrowse.solynta.com,165,0,0,0,14,491,64,0,0,734,
bioinfodbs.kantiana.ru,192,0,0,0,0,6,0,0,0,198,
158.109.215.162,1,0,0,38,25,101,0,0,0,165,
pophuman.uab.cat,0,0,0,215,6411,78,0,0,0,6704,
pophuman.uab.es,0,0,0,0,98,2,0,0,0,100,
popfly.uab.cat,0,0,0,0,0,3180,0,0,0,3180,
summit.med.unideb.hu,3,0,0,5,0,149,0,0,0,157,
www.rmbreeding.cn,11,0,0,0,0,1798,0,0,0,1809,
neuroseq.janelia.org,0,0,0,0,0,197,0,0,0,197,
jbrowse.hpcagrogenomics.wur.nl,281,11,35,618,144,2,0,0,0,1091,
biocomp.phibred.com,18,4,45,19,10,8,0,0,0,104,
152.7.99.244,259,53,316,179,102,10,0,0,0,919,
rgv.genouest.org,0,6,0,280,0,42,0,0,0,328,
biocomplx.phibred.com,472,377,5,1,1,0,0,0,0,856,
222.200.187.174,295,22,181,0,18,0,0,0,0,516,
localhost:8082,1602,0,0,7,87,0,0,0,0,1696,
localhost:8081,326,0,0,3,29,0,0,0,0,358,
192.168.25.170,413,26,0,0,13,0,0,0,0,452,
jbrowse.org,28106,44,7,1,1265,0,0,0,0,29423,
bioinf.gen.tcd.ie,6569,323,518,0,10,0,0,0,0,7420,
localhost:8888,2545,0,0,0,3,0,0,0,0,2548,
10.4.19.128,161,0,0,0,3,0,0,0,0,164,
13.113.77.198:8000,248,0,0,0,14,0,0,0,0,262,
www.yeastgenome.org,25,0,1598,0,2,0,0,0,0,1625,
de.cyverse.org,193,0,0,0,1,0,0,0,0,194,
localhost:8000,6281,6,0,0,4,0,0,0,0,6291,
togodb2.kazusa.or.jp,441,16,366,64,4,0,0,0,0,891,
101.200.190.143:8080,444,0,0,0,7,0,0,0,0,451,
192.168.1.50,150,0,0,0,3,0,0,0,0,153,
172.20.0.59,170,0,0,0,6,0,0,0,0,176,
browse.yeastgenome.org,794,0,80205,0,76,0,0,0,0,81075,
172.30.184.31,169,0,0,0,2,0,0,0,0,171,
159.226.67.237:6080,72,10,42,98,1,0,0,0,0,223,
localhost:8090,4476,0,0,0,1,0,0,0,0,4477,
jbrowsevar.renlab.org,87,672,0,0,2,0,0,0,0,761,
localhost:11000,323,16,52,11,6,0,0,0,0,408,
genoweb.toulouse.inra.fr,290,9,111,0,1,0,0,0,0,411,
122.112.248.194,1758,190,0,93,33,0,0,0,0,2074,
sas-us-leb-seq,364,0,0,0,4,0,0,0,0,368,
docker-jbrowse-adebali.cloudapps.unc.edu,265,0,0,0,1,0,0,0,0,266,
159.226.67.237,178,86,11,393,106,0,0,0,0,774,
localhost:9000,12510,0,0,0,2479,0,0,0,0,14989,
210.46.85.201:8080,550,0,245,0,1,0,0,0,0,796,
127.0.0.1,2583,49,7,0,17,0,0,0,0,2656,
www.fishbrowser.org,1076,0,0,0,2,0,0,0,0,1078,
ssr,893,0,0,0,8,0,0,0,0,901,
epigenome.genetics.uga.edu,4131,575,100,972,1643,0,0,0,0,7421,
127.0.0.1:8080,570,0,0,4,11,0,0,0,0,585,
172.19.35.54,117,0,0,0,2,0,0,0,0,119,
inno.npz.local,442,6,244,0,3,0,0,0,0,695,
60.205.203.178:8082,356,0,0,0,4,0,0,0,0,360,
