host,mean,count
172.20.174.113,20974.4381,4741
202.90.159.218,9279.2808,260
172.29.4.215:8080,8979.9575,753
oryzasnp.org,8670.2588,4579
snp-seek.irri.org,8413.4895,3009
biocomp.phibred.com,7881.5657,677
popfly.uab.cat,3495.8870,1646
cgm.sjtu.edu.cn,3239.3400,2085
blue.usbod.astrazeneca.net,3158.1092,357
www.rmbreeding.cn,3025.0000,549
rna.sysu.edu.cn,2509.6071,2802
158.109.215.18,2374.0246,2638
jbrowse.dobzhanskycenter.org,2180.0000,110
geco.iplantcollaborative.org,1793.2659,2493
neuroseq.janelia.org,1742.7697,178
jbrowse,1419.2176,1328
10.10.10.41:1337,1414.9216,319
10.171.5.38:8081,1245.7328,131
staging.wormbase.org,1027.6180,1246
52.7.73.148,961.0000,614
jbrowse.deenabio.com,945.7012,164
rgv.genouest.org,920.8293,287
192.168.118.225:8080,801.8037,107
ukapdlnx115.ukapd.astrazeneca.net,778.5800,850
www.wormbase.org,596.0356,21643
peach.igh.cnrs.fr,557.5698,1167
visual.ic4r.org,548.7495,13640
111.198.139.96:17436,541.6443,149
gbcs-dev,511.7034,1106
bovinegenome.org,510.2129,1362
gwas-browser.nygenome.org,467.0000,234
besc-portal.ornl.gov,445.9006,332
gbcs-dev.embl.de,433.1383,2459
localhost:8081,410.5973,1880
chambo.umd.edu,401.2388,134
jbrowse.jhhlab.tw,386.3835,1854
10.0.0.20,371.5617,3705
jbrowse.hpcagrogenomics.wur.nl,363.2031,448
furlonglab.embl.de,330.3037,922
www.tongjidmb.com,298.4041,386
sjcbioweb01.driscolls.com,284.5110,1765
141.244.134.147,281.8094,299
10.0.0.29,280.6860,172
10.113.72.170,277.1384,159
cho-epigenome.boku.ac.at,276.0000,626
124.16.129.16:9612,259.2167,323
210.46.85.201:8080,258.1066,197
brecandb.igib.res.in,245.0000,338
jbrowse-dev.yeastgenome.org,243.6726,226
jjwanglab.org,234.1692,130
genomes.missouri.edu,232.6634,205
www.yeastgenome.org,231.9239,40773
yeastgenome.org,229.6985,1300
caesar.dna.affrc.go.jp,228.7500,116
mirlab.sysu.edu.cn,226.3825,1132
biocomplx.phibred.com,224.9193,1276
genexpdb.okstate.edu,220.9939,494
119.15.169.70,203.6682,217
biocenter.sysu.edu.cn,193.1765,306
137.189.43.160:8080,187.2181,1683
jbrowse.intranet.dow.com,184.9184,1643
sysbio.sysu.edu.cn,184.5306,2190
ceres.snu.ac.kr:9993,171.3723,462
genomevolution.org,170.4252,11958
donald,170.1124,765
localhost:63342,168.9238,1142
genomes.missouri.edu:8080,164.0664,918
salmonella.wadsworth.org,163.0000,315
jbrowse.brachypodium.org,160.0000,311
servbio.hpc.ncsu.edu:81,159.8254,796
matsui-lab.riken.jp,157.8131,776
www.cgr.liv.ac.uk,154.0000,143
152.7.99.249,150.0643,280
jbrowse.org,146.2585,32687
137.189.43.55,146.2349,2929
ukapdlnx005.ukapd.astrazeneca.net,146.2279,136
lulab.life.tsinghua.edu.cn,146.0068,2219
www.candidagenome.org,145.8569,1041
210.46.85.200,136.0000,108
hicp.big.ac.cn,135.1106,2070
10.200.150.118,134.6102,254
192.168.1.168:8080,134.0326,522
x-staging.platomics.com,130.1875,144
sacibase.ibb.unesp.br,123.9100,722
localhost:8888,122.5308,3566
sanger.kws.de,121.1369,1549
www.tomatogenome.net,119.8414,1564
10.0.0.48,119.2796,1996
jbrowse.lisanwanglab.org,118.1967,244
rgd.mcw.edu,112.5778,66159
10.207.146.10,111.7719,263
simrbasedev.sgc.loc,111.6070,201
homestead.faire-dash,111.5816,141
10.145.28.203,108.5031,159
epigenome.genetics.uga.edu,106.3980,5121
pipelines.rgd.mcw.edu,104.1611,7051
137.205.68.42,102.8826,690
dev.rgd.mcw.edu,99.6305,498
172.25.69.30,99.6284,296
cluster-dev.florimond-desprez.fr,99.5537,121
www.rgd.mcw.edu,98.8992,1002
cluster.florimond-desprez.fr,97.3717,304
ibs-bosiljkat-ux1:8787,95.2692,286
cicarvardb.icrisat.org,94.0000,154
mmb.irbbarcelona.org,92.9003,2037
14.139.59.221,92.8304,112
hikakudb.nig.ac.jp,92.6479,943
dev.wormbase.org:9003,92.5962,104
192.168.34.39,92.2122,245
daudin.icmb.utexas.edu,91.6783,230
titin.ucd.ie,91.5983,1145
wolferine.ucd.ie,90.7332,1533
simrbase.sgc.loc,90.1698,966
dev.niagads.org,90.0276,1051
jbrowse.cgb.indiana.edu,89.5584,428
10.4.4.3,88.6959,296
www.picb.ac.cn,88.1403,1105
www.niagads.org,88.0464,3921
10.0.0.15,85.0000,136
mmb.pcb.ub.es,84.0614,114
10.4.4.74,83.1174,1448
pathos:8080,82.3937,1138
kyle.rgd.mcw.edu,82.1446,408
rest.rgd.mcw.edu,81.8998,409
147.99.255.142,81.2882,170
10.0.53.135,80.5214,374
202.116.90.9,78.6595,185
sweetpotato.plantbiology.msu.edu,78.0121,1322
hinton-jbrowse.s3-website-eu-west-1.amazonaws.com,77.9505,101
tomatolab.cshl.edu,77.3140,449
gbr3,77.1706,768
192.168.1.201,77.1500,180
webapollo2.vectorbase.org,76.9988,3241
124.17.27.143,76.8228,666
mothra.ornl.gov,75.5652,115
hanusch-staging.platomics.com:10005,72.0000,343
10.112.31.15,71.3613,119
hymenopteragenome.org,70.5914,2567
binkley.candidagenome.org,70.3075,426
137.205.123.127,69.9371,858
172.24.4.39,67.9310,116
91.134.141.45,67.7182,110
ziggy.dbi.udel.edu,67.5523,793
genomes.stowers.org,67.4251,407
www.hardwoodgenomics.org,66.8953,449
epigen-zhong.discovery.wisc.edu,66.4123,1043
192.168.20.200,65.7567,448
apollo.tgac.ac.uk,65.5847,2885
52.18.1.94:9050,64.9503,181
jbrowse-test.sgn.cornell.edu,64.8694,1210
172.24.4.35,64.1991,467
lipm-browsers.toulouse.inra.fr,63.4495,485
jbrowsephoenix.abudhabi.nyu.edu,62.9346,214
u031331.science.uva.nl,62.3957,743
aestivum.accwi.org.au:8080,61.5377,2836
browser.porteco.org,60.8507,134
genome.igib.res.in,60.6170,1201
myosotis,60.5631,103
192.168.1.119,60.3824,102
genome.integragen.com,60.2492,935
jbrowsebios.com,60.0995,201
bioinf.gen.tcd.ie,59.6398,7523
bmi.xmu.edu.cn,58.4939,1970
10.1.1.22,58.3904,333
ivis-dev:8000,58.2747,364
210.75.224.168:8080,57.9131,725
134.121.247.55,57.6632,288
ngs.molgenrug.nl,56.2511,474
nobel.gedv.pasteur.fr,56.2245,686
mandolin.caltech.edu,56.1429,182
localhost,55.8779,38160
jbrowse.molgenrug.nl,55.6187,257
cerbero.ba.itb.cnr.it,53.8895,190
10.122.114.30,53.7515,334
jbrowse.informatics.jax.org,53.5767,13752
ngsnd001.jpn-pharm.ad.local:8080,53.2606,188
old-gep.wustl.edu,52.9833,898
transgenicmutationmodels.badrodent.com,52.6157,216
192.168.7.11,52.6040,942
solgenomics.org,52.5404,198
jbrowse.intermine.org,52.3099,3762
apollo-dev.nal.usda.gov:8080,52.0278,108
133.48.58.6:8080,52.0000,544
ivis-dev.corp.personalis.com:8081,50.9512,123
137.189.43.231,50.5553,479
apollo-dev.nal.usda.gov,50.5136,734
proteogenomics.zhang-lab.org,50.2857,105
data.koalagenome.org,50.2514,1209
www.syntheticyeastresource.com,50.1163,258
jbrowse-nrgene-server,49.2532,158
gb.csdb.cn,49.0172,116
www.flyrnai.org,48.9136,7117
genomics.usal.es,48.6510,682
myers.bioinformatics.nl,48.1628,903
maizeinflorescence.org,47.6364,440
marchantia.info,47.5869,4461
genomes.stowers.org:8080,47.2526,760
gif-server.biotech.iastate.edu,47.2200,150
hpclife.th-wildau.de,47.1811,127
jbrowse.roche.com:8080,47.1682,666
www.sunflowergenome.org,46.5833,276
ivis-dev:8010,46.3518,199
piton.eb.local:8000,45.8972,107
vbioimage-jbrowse.ibmp.unistra.fr,45.8357,645
dev.www.flyrnai.org,45.7094,117
srv-rz-vm-1.ethz.ch,45.4083,218
103.18.1.187,45.1016,305
10.10.56.31:8080,45.0000,266
localhost:8080,44.9109,25217
10.11.4.81,44.8019,106
bioinformatics.caf.ac.cn,44.6861,481
sweetpotato-dev.plantbiology.msu.edu,44.4732,112
127.0.0.1:8080,43.8669,278
192.168.10.200,43.6293,1044
coffee-genome.org,43.0000,261
orca2.tamu.edu,43.0000,207
webapollo-pre.vectorbase.org,42.9200,350
jbrowse.roche.com,42.7360,428
hts-etl-01,42.7337,169
intermine.ncgr.org,42.6149,322
127.0.0.1,42.4325,3866
mines.legumeinfo.org,42.4126,875
hymenopteragenome.org:8080,41.6522,529
donking.synpromics.com,41.3942,1352
localhost:5801,41.2558,129
192.168.211.223,40.5984,254
sefapps02.qut.edu.au,40.3438,605
www.yuyufei.cn,39.9928,278
,39.1689,833666
phytozome.jgi.doe.gov,38.8915,42551
hazelnut.blast.mocklerlab.org,38.0000,110
jcdb.xtbg.ac.cn,38.0000,118
210.72.92.108,38.0000,166
210.72.92.144,37.6845,187
10.0.0.193:8080,37.4028,144
arete,37.2927,2190
crrd.mcw.edu,37.2247,543
localhost:1337,37.1022,274
www.xenmine.org,37.0000,109
hank.bio.ed.ac.uk,36.9685,222
10.10.155.175,35.8738,103
10.114.143.20,35.7590,498
128.104.238.177,35.0647,232
sysbio.informatics.iupui.edu,35.0476,210
bioinformatics.forsyth.org,34.9771,962
bmi.xmu.edu.cn:8000,34.9101,612
192.168.1.101,34.7138,545
chlorella.unl.edu,34.2857,154
www.liub.cn,34.1554,399
gmod2.sb-roscoff.fr,33.9630,486
inb.bsc.es,33.8508,429
lint78.pythonanywhere.com,33.8085,235
